,0
178,漂亮姊姊的圖呢
179,如果原波不想要袋子有意願售出嗎我願意買我為了那個袋子去的轉了個拿了好多卸妝的
180,我賣你哈哈
181,真的嗎要賣我多少錢
182,你都上上籤了給你開個好數字
183,那個已經一年前的是了哈哈哈說來聽聽我看看價格
184,一年也沒很久啊我不懂這些女性用品的價位你開啦哈哈單身狗用不到
185,哇那些東西加起來不便宜欸我可以單純買袋子嗎哈哈哈哈
186,私
187,母湯哦拜託別在我這邊搞事
188,哈哈哈應該不會被抓到啦
189,話說我覺得袋子有點普通可能是塑膠材質不對我的味
190,我顆扭蛋全都是抽到化粧水
191,想要來點其他的嗎
192,想啊
193,走等等水龜伯見不會讓你失望
194,什麼水龜伯
195,在你校本部那邊的豆花雖然你看起來是城區分部的
196,我也想買
197,第一天沒有雨傘看來活動要去第二天去年好像也是第二天比較好我的小藍袋很想收購
198,女生們好像都很喜歡小藍袋欸以下開放競標從一杯多多綠開始
199,所以如果競標到杯你要一次喝完嗎
200,拿好多哦我拿很少有點後悔怎麼不去多拿點代幣裡面的姊姊真的很活潑我也是看好久放空找不到被他嗆
201,母湯哦應該喝沒多少就開始吐了吧笑死她真的超有趣
202,那我出杯哈哈哈慢慢喝
203,你拿藍色袋子跟我換擁抱中我將在小時後消失
204,謝謝你解答了我抽到神卡真的很好運
205,這答案真的很硬扯
206,但就是真的當初抽卡的概念就是這樣來的如果你是最早開放的一批就會知道
207,乾我枚代幣個冷知識啊
208,辛苦了
209,辛苦所有工作人員
210,謝謝閃光謝謝所有的工作人員謝謝
211,辛苦了各位卡友和工作人員很美好的回憶
212,辛苦了
213,謝謝狄卡工作人員用這活動帶給我一個很棒的回憶也讓我認識了許多新朋友辛苦你們了
214,謝謝閃光但我還是比較愛遊樂場老闆喔
215,辛苦了
216,辛苦的工作人員惹
217,辛苦惹希望一年比一年辦的更好加油
218,真的辛苦了第一次參加覺得超好玩下一年還要去謝謝你們喲
219,辛苦了
220,沒有抓到閃光有點小可惜不過主要看中的是杯套滿好用的辛苦各位工作人員了妳壞壞啦我的糖果呢
221,其實很多人都認為早鳥票有包含藍袋子真心認為下次在宣傳的時候要註明隨機發放畢竟很多人都是為了這個去的而且內部人員也需要做事前訓練每個人說一套是一套感覺被呼攏辦這項活動固然好而且還是免費可是看著前面最早進去的人每個都提著藍袋子唯獨自己沒有心情真的是很糟糕整個都沒興致了畢竟我也是有搶早鳥票的人就算多次反應主辦單位也是沒有人願意做這方面的回應只能說下次會更好加油
222,我能理解下次再加油吧我也沒拿到
223,這限時動態會消失嗎感覺就是滑不完
224,沒拿到小藍不過蠻好玩的工作人員很友善一個人去也能玩分享一下戰利品囉
225,謝謝主辦單位給大家帶來這麼好玩的活動還有禮物們辛苦了
226,找到我了謝謝所有工作人員辛苦了
227,謝謝工作人員用心安排這場活動雖然我沒辦法參加但是我明年一定會排除萬難參加的桑心的阿粉
228,活動還特別說可以召喚粉紅團長結果團長本人消失
229,辛苦了但是一些細節麻煩檢討不希望下一次又是負評不斷
230,我們心中有粉紅今天大家穿比較隨性
231,你是誰為什麼我沒有捕捉到你
232,謝謝工作人員們
233,你幾點進去
234,快
235,準備出去咯太晚了看得出是誰了吧
236,下次南部可以辦一場嗎
237,欸嘿嘿我昨天就去啦
238,我要蛋糕
239,啊咧下次買給尼好不好
240,豪
241,辛苦了謝謝所有的工作人員
242,抓
243,你知道閃光是哪一位
244,下次辦在高雄敲碗
245,同校欸
246,我從藍袋子出來之後就一直跟朋友炫耀結果拿不到臉痛痛的
247,下次宣傳跟動線一定要清楚明瞭至少場內也要有個服務台可以詢問搞得第一天去一團亂對很多人來說不公平尤其在活動前很強調的藍袋子杯袋紋身貼紙既然想用贈品吸引人潮就一定要清楚告知如何獲得數量也要控制好而不是現場的工作人員說法不一第一天開始不到三個小時贈品就沒了對接下來參展的人不公平搞得大家一肚子氣希望下次可以更好加油
248,第一天可能發太快第二天可能受到第一天參加人的感想人少了幾乎都有拿到
249,我就是那個第一天去的人還是搶晚上七點的早鳥什麼都沒了
250,真假我也是我是第一天點的一進去工作人員就跟我說明天請早超傻眼原本隔天想努衝一波的可是還要回學校就沒去了
251,第二天早上就沒拿到藍袋子了傻眼到爆
252,可是下午都有啊
253,第二天下午點的沒有誒
254,裡面嗎我在後面出去扭蛋還是蠻多人拿到的
255,影片中綁馬尾的女生到底是誰她憑什麼插隊而且快半小時
256,看完發現台灣亂象男醜女正
257,是繽紛實驗室那段的照片中的人嗎
258,對
259,而且好多他的照片
260,超級多啊她到底哪位真想知道是哪一位網美
261,在我猜是邀請的人或他們自己人可能是想為事後的活動照添加一點繽紛
262,我在旁邊聽到是公司的員工喔
263,乾就說啦哈哈哈哈哈想說怎麼可能是網美勒笑死
264,原來了解
265,謝謝午夜實驗室你們辛苦了
266,卡哪裡請得了網美當然自己來啊
267,可能我氣昏忘記了
268,都請得了為啥請不了網美
269,辛苦了謝謝你們
270,磅啊我不毆打誒而俄鞥第二名的恩昂寶跑安牛排不都暗暗按壓帶誒我昂愛案凱子誒恩的呃呃呃地昂而案盤案的母歐案的恩愛當歐愛南岸暗暗喔安奧案本歐愛已勞歐案無單的恩愛鞥鋪嗷嗷鱷的安二
271,有就不錯了一堆人沒拿到
272,你用元買了一個壞掉的袋子
273,他們不是主打大家都有嗎
274,下面一堆文說沒拿到
275,這個今天不好拿我去抽卡拿到的機會外面的扭蛋超難扭的都沒有獎品
276,沒拿到嗚嗚
277,嗚嗚
278,我的也破了
279,你好好我為了拿那個袋子搭高鐵結果我因為早鳥都有結果還是一樣要玩遊戲配對才有然後我不知道是旁邊的友人結束之後才知道我沒有配對成功沒拿到
280,我的也破了但是我自己用封口機封起來了
281,你太聰明了我用訂書機
282,你抽到的禮物不錯欸
283,剛好都是自己可以用的閃光表示不以為然他都用不到
284,嗚嗚嗚我怎麼排可是沒有雨傘
285,問題答完以後他會給你抗痘叫你拿著去隔壁攤等欸還是後面雨傘發完了
286,我早上的是答完題給硬幣打卡才給小禮物
287,規則好像一直改
288,哇哇真不錯餒禮物感覺不錯
289,我早上點去的他沒有叫我去拿雨傘
290,我下午剛剛進去那裡也什麼都沒給不過經過看到有傘才問看結果是裡面的姐姐搞烏龍
291,嗨學妹我是畢業老屁股
292,拍拍的確可能嗚嗚
293,的雨傘好像是下午三點多才開始送的我們原本去也沒有晃了一圈排隊的時候就開始送傘了
294,你把人家機密公布了
295,恩恩我也差不多那時候拿到的意外發現的
296,其實是隨機排隊沒有順序之分
297,藍色袋子不是用抽的是有工作人員會發一張卷然後直接去兌換
298,第二天就沒有卷了
299,因為發卷太亂了
300,原來我第一天去的陰錯陽差的拿到了卷想說好像不是扭蛋扭的
301,第二天去用抽的
302,乾空扭蛋可以換東西哦那時候工作人員看我手上東西多還幫我開扭蛋其中一個空的還我我還把它丟掉
303,少數可以就有點點或畫記過完全空的可以找工作人員重新抽
304,我看很多人都把空的直接丟掉
305,我幣我只抽到粉紅色袋子一個你們都好幸運
306,幣沒有袋子但拿了個眼線筆
307,就在我們學校附近可是人家找不到同伴陪我去
308,羨慕紙膠帶可以近拍嗎
309,可能新手運吧不然這整年的運氣都用在這個身上了三隻眼線筆市價大概多少貼補一下家用不無小補啦其實我們可以一起去掩面如果不介意陌生人的話
310,也很正
311,我抽到一顆蛋裡面紙條寫了卡的小編都是的
312,我有看到你還遇到你抽卡實驗室後跟你說了幾句話但不知道是不是你還是你朋友不過恭喜你抽到小藍袋
313,小編才是大正咩生活在都是可愛妹子的軟件其實蠻幸福的交換賴的妹子嗎是我是我謝謝真的很高興能認識你阿阿阿阿阿阿
314,我們好像沒交換到因為你後來去找你朋友了如果要交換也可以唷
315,我是直條紋的女森你認識的是我嗎
316,不是那我應該是碰到你朋友
317,你也好多啊哈哈
318,雨傘是幾點拿到的啊
319,點多的時候
320,我是四點左右拿到雨傘
321,你們幾個人去啊好多喔
322,兩個人沒有很多可是我們為了藍色袋子去第二天第一天根本亂發第二天管制超難拿
323,我知道你是誰你拿到的不只這些但都給別人了他總共拿瓶潤絲和一個小藍
324,排開真的好療癒我是禮拜六下午去的
325,你們都好豐盛喔
326,我是第二場的最後抽的扭蛋防曬跟護髮都沒了變成小罐的乳液最想要的藍色小袋子都抽不到
327,我也是沒拿到藍袋
328,不難過不難過
329,藍帶起司豬排
330,好吃
331,你嚇得我滑回去看我有沒有打錯了
332,紅色那個包裝是
333,長長的那個是眼線液筆桃紅的是修護精華
334,沒有男生也可以用的嗎
335,都可以用啊哈哈哈白色盒子那個是面膜
336,一個代幣可以轉一次哦
337,代幣結果藍色袋子我當下喊誰要女生來我就送了我沒要哈哈
338,好可惜沒遇到你
339,藍袋子很好拿的去抽卡的那個結束抽球看到藍色的球抽下去就全是藍色袋子他的球只有藍橘白白個很好抽到
340,我不敢看欸哈哈哈
341,而且洗髮的本來有個還有很多東西我都送出去了今天超級幸運藍袋子一次拿到後面轉蛋一次罐拿給工作人員還笑了一下說拿到了嗎之後拿一個箱子啦
342,我都直接選了哈哈哈
343,沒有藍袋
344,好酷的設計想要
345,可以問一下容量大概多少嗎
346,不確定耶外觀目測我猜杯子是雙層的保冷效果應該不錯我喝太快沒測到
347,材質喔
348,加購多少呀
349,有飲料好像還可以有棉花糖我沒拿怕甜
350,加棉花糖不用錢
351,這個杯子用號塑膠製成
352,所以我沒買
353,我只買來紀念也不敢用
354,可以跟閃光拍嗎
355,超推印照片
356,我是忘記去哪裡拿
357,哈哈這是我寫的啦那個洞我塞不進去就隨便擠了
358,在低卡背景拍照不覺得丟臉嗎
359,有什麼好丟臉嗎
360,尼好派
361,拍拍
362,我也是都沒抽中藍色袋子也沒抽到想知道的冷知識小桑心啊
363,我覺得改成抽的真的公平多了這個處理我可以接受
364,我是第一天場的我也是在抽卡實驗室得到的可能因為同段時間還有一批現場等候所以禮物數量整個錯誤造成禮物提早發光的問題
365,想知道閃光杯長什麼樣子謝謝如果是抽到這個也不錯耶
366,文中說的應該是這個唷
367,不能接受對昨天的參加者一點都不公平
368,還我雞排編
369,情侶去的話就會一組一個人去的話就排隊前後隨便找個人一組然後其中一人躲在門後露出手或一個小部位讓你猜是不是他猜對有贈品就這樣沒有交朋友的感覺
370,剛才是分兩排然後一次六個進去就算跟朋友算好一個對一個也有可能被拆開我有配對到一個啦聊個天看個身體部位拍完照然後就再見不聯絡抽獎有閃光杯藍色提袋身體噴霧那些出場前跑去出口問工作人員藍色提袋怎麼領她說只有抽卡實驗室或是外面扭蛋才有機會
371,我有遇到一個專一的妹子可愛有交換同志們人生還是有希望的
372,不行
373,需要後續自己來
374,請問藍色袋子在扭蛋裡的紙長怎麼樣
375,太久了吧
376,也太久了吧等了兩小時都在號
377,了
378,百號以上不知道要等多久
379,等到心累
380,了卡友們衝啊
381,了
382,請問現在排現場拿到幾號了
383,華山都逛一圈了還沒排到
384,別擔心進去後會繼續排隊
385,抽抽
386,現在排到幾號了
387,這個文章頂不是有嗎
388,沒藍色袋子
389,好想要藍色袋子
390,沒拿到藍色袋為了藍色袋去的
391,太久了吧
392,昨天我拿早鳥票去也沒給我杯套袋子杯套什麼都沒有就紋身貼紙跟氣球呵呵
393,杯套要自己去贈品區換喔
394,文章上沒有個確切到十位的數字我不知道我還要等多久呀
395,我就是去贈品區換只給我紋身貼紙跟氣球還是我主動問說那袋子呢他們才說沒了我那時候忘記還有杯套沒問我也不知道是沒了還是他們忘了給要走前我還有看到別人在贈品區前拿著杯套我就跟我朋友說啊還有杯套我朋友說是玩遊戲才會送我就沒問結果原來他是直接送
396,你們早鳥應該要有的好處就應該要有搞得好像搶早鳥也沒什麼用應該早鳥集合完就帶我們先去贈品區換東西而不是直接帶到入口然後說進去就不能再出來結果出來的時候就換不到任何東西
397,你要主動說自己是早鳥才有杯套不然他們不知道你是現場排隊還是早鳥
398,想請問真的有人會從轉蛋轉到藍色袋子嗎目前看下來好像都發放完了
399,我直接拿早鳥的票給他們刷了他們都刷了
400,我有朋友轉到贈品區刷早鳥票
401,對啊他們刷我的扣票上面不是也說扣是換東西用的嗎
402,那現場參加活動還拿得到袋子嗎在想晚點要不要去碰碰運氣
403,要怎麼看排隊排到幾號了
404,拿到藍色袋子了
405,玩半天遊戲一堆代幣拿不到藍色袋子感覺很差
406,只要在那個號碼之前的過去就可以進場了她是一個區間一個區間放人的
407,請問是怎麼拿到的
408,好麻煩
409,你行就去發布新聞
410,但老實說我有預料到這個情況所以填了星期六的點然後秉持著沒拿到也沒關係的精神如果是為了禮物去搞得不開心也違背了舉辦活動的本意感覺很不好
411,你行就去多修修邏輯課程
412,閱
413,哈哈那你有能力處理抱怨嗎
414,釣魚釣魚釣到什麼魚
415,他會不會根本沒有發現灑到你
416,我是早鳥但我也沒拿到這裡也想求個只是畢竟限量大家也都想留著芭
417,要買嗎
418,我記得好像是寫加價購吧
419,請問妳明天會去嗎
420,會噢
421,有人一起嗎
422,上面寫須加購
423,有噢
424,幾點場
425,杯子在入場最後方有一個換糖果的旁邊妳走到最後就會看到了一杯一百元口味有芒果野莓喝起來就像氣泡水加一點調味會問妳要不要加棉花糖唷棉花糖融化速度很快要趕快吃掉唷吸管是可以重複使用的環保吸管我個人是覺得很值因為還能重複使用活動當天摔了三次還沒裂痕哈哈哈哈
426,建議喝芒果因為野莓不知道是殺小怪味哈哈
427,我就是喝野莓哈哈哈哈我也覺得不知道怎麼形容哈哈不過朋友都說好喝我自己也不知不覺喝完哈哈哈沒有難喝到那樣啦它有種魔力
428,是嗎可是我有點難喝下肚哈哈是真的不太會很難喝啦但是就覺得好怪哈哈不知道野莓什麼味道
429,我覺得男生不知道為什麼都難接受野莓這東西我哥哥前男友以前班上活動訂飲料也是對就是那樣我覺得是因為我們已經習慣那種超化學的調味突然喝到這個有點天然還是調味加太少怪怪的哈哈哈哈
430,請問容量大概多少
431,大概唷而且我覺得還有一點是它是台灣製造
432,重複排隊拿代幣
433,我們是沒做這種事啦就乖乖排隊闖關和打卡
434,收
435,但是該怎麼跟你拿
436,沒辦法讓票吧因為條碼是有記名的
437,想要
438,想要
439,想要
440,好像如同所說的記名只能我帶一個人去各位有想法嗎
441,求帶我哈哈
442,帶我去誤
443,可是如何帶你去也是個好問題個資的部分
444,我太失望了
445,無法留聯絡方式明天早起去排隊好了認命
446,看完今天文章決定不去了說我們應該拿不到袋子了
447,不其實你們如果是早上的還是可以去他今天不給我們就是為了留給你們
448,我是下午的
449,逼萬袋鼠的感謝主揪
450,可惡二
451,我難過桑心的阿粉
452,可惡搶失敗
453,抓
454,我是可憐的上課教練
455,我今天是兩點那場大概排第五個吧根本沒拿到杯套我傻眼
456,我也是場的早鳥沒拿到杯套根本沒說杯套要去哪裡兌換
457,乾為什麼我兌換卷是換一片面膜失望死我小藍袋
458,我們換小藍袋剛好他們說有早鳥可以換杯套才知道的拍拍希望他們下次能改進
459,不夠正幫
460,跟這個有什麼關係我也是為了藍袋子去的有早鳥結果得到的答案卻是發完了開門的那個活動配對成功之後就拍張照拍完各自分開雖然這可能是雙方的問題動線也是很亂說穿了就是讓廠商聚集廣告的展覽吧非常讓人失望
461,那妳是不是也沒拿到真的本身的攤位真的很少贊助商很多但也都排長長然後打卡啦下載啦跟我想像的闖關活動真的是天差地遠不過題外話抖音的攤位真的送的很大方雨傘跟帽子中獎率很高
462,我抽到抖音帽子但完全不可能戴出門
463,其實我覺得那頂帽子很好看欸要是沒有那個標誌就好了我抽到雨傘也不太敢撐出門就是了
464,我女友戴著回家她好可愛
465,但那個抖音標誌實在太大了我打算送我男友戴雖然他不戴就已經好可愛
466,抖音的我跟朋友都沒成功哈哈哈我們超不會夾的
467,我根本就不想去
468,我覺得傘很棒又夠大不會不敢撐出門我是沒看到有人抽到帽子只看到筆記本跟傘
469,我覺得活動還不錯很用心
470,講真的今年比去年爛除了抽卡實驗室有進步不過實驗室還是有改進的地方不然其實排隊的時候就是你前後的人感覺就其他我真的覺得不行贈品的部分更是亂
471,我也是早鳥不到就在等排隊了還不是沒拿到藍袋根本沒聽到說會發券啊好傻眼完全就是看運氣嘛
472,我去年沒參加無法比較
473,啊所以我明天點的場還要不要去
474,這活動感覺就只是去拿贈品的
475,如果是只想要藍色袋子應該可以不用去了我是今天三點的場也沒有袋子如果是真的想要去的話要注意真的很多人每一項大概要排半小時左右吧
476,今年比去年爛
477,我是第一場的早鳥票下午玩抽卡實驗室就送藍袋子了
478,個代幣太狂了你們幾個人啊
479,這麼多扛的回去嗎
480,笑死我
481,我們個人一起去裡面的代幣幾乎都拿了所以有這麼多
482,我們最後因為想說用不到所以全數歸還給工作人員了可是不能換其他禮物
483,傻眼這樣代幣不就白收集嗎我是
484,如果要去盡量早點去只有一開始拿的到東西到最後都沒有了
485,好可憐給你抱抱
486,真的超級傻眼的去年每個人都有一袋這次竟然限量嚶嚶嚶嚶請你用力的抱緊我
487,我會用力抱緊你窒息了我也不會放開
488,我有四瓶防曬沒有卸妝水超想跟你換的工作人員也是說沒辦法換
489,我罐
490,怎麼感覺有點可怕我也好想跟你換真心覺得明天應該不差那罐啊為啥不給我們換你用的到這麼多嗎
491,我跟我朋友我們兩個人得到個代幣
492,你們換罐卸妝水嗎
493,個紙膠帶個保養美妝品罐卸妝水
494,借問一下卸妝水是在有效期限內嗎
495,目前一個人有人還沒闖關想要明早一起去逛逛嗎
496,你們好厲害可惜我們沒有早點去用扭蛋不然也有其他禮物
497,我多去扭的
498,我們已經到最後才去扭工作人員最後的扭蛋都是空的然後全部都換卸妝水我們想換其他的東西結果他們都說是留給明天的真的很好奇是有差這些嗎
499,原不是說全數還給工作人員了怎麼回家還可以拍卸妝水的日期是我理解能力有問題嗎
500,這是另外有朋友換到再給我們的我們自己換的全都還回去了
501,瞭解原晚安
502,這屑到臉爛了都還用不完啊有效期限還是
503,只好分出去了
504,我們送愛心給今天的人
505,雖然不知道是什麼但是感覺好多
506,這是理膚的什麼產品呢
507,可以給可愛的同學一瓶嗎對我是誰你懂的
508,我沒有抽到跟你一樣的哈哈你們的超威
509,這是卸妝潔膚水哦對啊哈哈哈剛剛捷運上的人一直看著這一箱呢是清爽卸妝控油潔膚水哦給你瓶都不是問題可能是因為我們趁清場前十分鐘衝出來只剩理膚寶水了
510,為什麼可以集到那麼多代幣太強了吧而且怎麼會都只轉到那個啊哈哈
511,是不是都被你拿光了
512,我有枚代幣但一個卸妝水都沒有
513,我們每個攤位都去打卡按讚有的直接給我們五枚只轉到這個我也不知道該說幸運還是不幸運了哈哈哈有可能哦我只有卸妝水
514,想抽到卸妝水
515,我也拿到蠻多的後來還跟別人交換一些
516,幫雖然我很愛理膚寶水
517,是紙膠帶好像最後只剩理膚寶水了所以大家好像都拿一樣的哈哈哈我媽回家看到還問這麼多是哪來的
518,看來你可以做人情送人了
519,太扯了啦
520,想要紙膠帶
521,昨天的冷知識都有給哦今天都的沒有無言個代幣只有四個有獎
522,是不是同個時間轉重複性很高啊我拿到瓶潤髮乳個代幣聽到有人拿隻眼線筆
523,我抽到個袋子欸
